"ID de la compétence parente",ID,"Nom abrégé",Description,"Format de description","Valeurs du barème","configuration du barème","Type de règle de compétence (optionnelle)","Règle d'objectif (optionnelle)","Règle de paramétrage (optionnelle)","IDs des compétences croisées associées","ID d'exportation (optionnel)","Est un référentiel",Taxonomie
C3.7,C3.7-2,"C3.7-2 - Vérifier la partie électrique de l’installation","<p></p><div data-canvas-width=""176.2904""><i>Vérifier la partie électrique de l’installation (polarité des appareils, respect du schéma de connexion, mise à la terre, à la masse, ...).<br><br></i></div><p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""170.23679999999996"">- L’installation réalisée,</div><div data-canvas-width=""36.65279999999999"">- Plan,</div><div data-canvas-width=""84.67679999999997"">- schéma, </div><div data-canvas-width=""207.92"">- Documentation technique,</div><div data-canvas-width=""72.6064"">- Outillage.</div><br><p></p><p><b>CRITERES D'EVALUATION</b></p><p></p><div data-canvas-width=""286.43280000000004"">Les vérifications permettent de valider la réalisation et d’enclencher les étapes de la mise en service.</div><br><p></p><p><br></p>",1,,,,0,null,,65,,
C3,C3.8,"C3.8 - Trier, valoriser les déchets",,1,,,,0,null,,18,,
C3.8,C3.8-1,"C3.8-1 - Procéder  au tri des déchets ","<p><b>CONDITIONS</b></p><div data-canvas-width=""197.83679999999995"">- Réglementation et consignes liées au tri des déchets. </div><div data-canvas-width=""201.7376"">- Documents de traçabilité<br><br><br><b>CRITÈRES D’ÉVALUATION<br><br></b><br><div data-canvas-width=""85.7256"">Les déchets sont identifiés et stockés en respectant la réglementation et les consignes en vigueur.</div><div data-canvas-width=""69.34959999999998"">Les documents de traçabilité sont transmis.</div><br></div>",1,,,,0,null,,66,,
C3,C3.9,"C3.9 - Vérifier l’étanchéité d’un  circuit (frigorifique, hydraulique) avant  mise en service",,1,,,,0,null,,19,,
C3.9,C3.9-1,"C3.9-1 - Mettre sous pression et contrôler l'étanch","<p></p><div data-canvas-width=""195.776""><i>Mettre sous pression avec un  gaz inerte le circuit frigorifique et contrôler son étanchéité.<br><br></i></div><p></p><p><b>CONDITIONS</b></p><p><br></p><p></p><div data-canvas-width=""177.39439999999996"">- L’installation terminée,</div><div data-canvas-width=""82.59759999999999"">- L’outillage,</div><div data-canvas-width=""237.43359999999998"">- La réglementation en vigueur,</div><div data-canvas-width=""259.93679999999995"">- Consignes orales des pressions.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION<br></b></p><p><b><br></b></p><p></p><div data-canvas-width=""87.62079999999999"">L’étanchéité du circuit frigorifique est validée.</div><br><p></p><p><br></p>",1,,,,0,null,,67,,
C3.9,C3.9-2,"C3.9-2 - Vérifier l’étanchéité d’un  circuit hydraulique ou de  vidange de condensats","<p><b>CONDITIONS</b></p><p><b><br></b></p><p></p><div data-canvas-width=""177.39439999999996"">- L’installation terminée</div><div data-canvas-width=""144.78959999999992"">- Pompe à épreuve</div><div data-canvas-width=""82.59759999999999"">- L’outillage</div><div data-canvas-width=""259.93679999999995"">- Consignes orales des pressions<br><br><br></div><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p><br></p><p></p><div data-canvas-width=""49.01759999999999"">L’étanchéité du circuit hydraulique ou de vidange des condensats est validée.</div><br><p></p><p><br></p>",1,,,,0,null,,68,,
,C4,"C4 - METTRE EN SERVICE",,1,,,,0,null,,21,,
C4,C4.1,"C4.1 - Tirer au vide le circuit frigorifique",,1,,,,0,null,,20,,
C4.1,C4.1-1,"C4.1-1 - Indiquer, confirmer  les  pressions du vide","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""72.6064"">- Outillage</div><div data-canvas-width=""158.8104"">- Fiche d’intervention</div><div data-canvas-width=""259.7344"">- Consignes orales des pressions</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION<br></b></p><p></p><div data-canvas-width=""76.5992"">La pression du vide est obtenue à la température de vapeur saturante.</div><div data-canvas-width=""232.9624"">Le tirage au vide est efficient.</div><br><p></p><p><br></p>",1,,,,0,null,,69,,
C4.1,C4.1-2,"C4.1-2 - Contrôler et étalonner le  vacuomètre","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""188.48959999999997"">- Certificat de conformité.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION<br></b></p><p></p><div data-canvas-width=""121.42159999999998"">Le vacuomètre est contrôlé et étalonné à la pression atmosphérique.</div><br><p></p><p><br></p>",1,,,,0,null,,70,,
C4.1,C4.1-3,"C4.1-3 - Contrôler la pompe à  vide ","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION<br></b></p><p></p><div data-canvas-width=""88.81679999999997"">Le niveau d’huile de la pompe à vide est vérifié et complété si nécessaire.</div><br><p></p><p><br></p>",1,,,,0,null,,71,,
C4.1,C4.1-4,"C4.1-4 - Effectuer une épreuve de  pression pour contrôler la  résistance du système","<p><b>CONDITIONS</b></p><div data-canvas-width=""87.82319999999997"">- Installation,</div><div data-canvas-width=""58.972"">- Bouteille d’azote,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""159.0128"">- Fiche d’intervention,</div><div data-canvas-width=""207.92"">- Documentation technique.<br><br><b>CRITÈRES D’ÉVALUATION</b><br><br><div data-canvas-width=""80.7944"">La pression d’épreuve est respectée.</div><div data-canvas-width=""186.5392"">L’étanchéité et la résistance du système sont réalisées.</div><br></div><p></p>",1,,,,0,null,,72,,
C4.1,C4.1-5,"C4.1-5 - Effectuer une épreuve de  pression pour contrôler  l’étanchéité du système","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""87.82319999999997"">- Installation,</div><div data-canvas-width=""58.972"">- Bouteille d’azote,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""159.0128"">- Fiche d’intervention,</div><div data-canvas-width=""207.92"">- Documentation technique.<br><br></div><p></p><p><b>CRITÈRES D’ÉVALUATION</b></p><p></p><div data-canvas-width=""80.7944"">La pression d’épreuve est respectée.</div><div data-canvas-width=""186.5392"">L’étanchéité et la résistance du système sont réalisées.</div><br><p></p><p><br></p>",1,,,,0,null,,73,,
C4.1,C4.1-6,"C4.1-6 - Utiliser une pompe à vide","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""112.01919999999996"">- Pompe à vide,</div><div data-canvas-width=""87.82319999999997"">- Installation,</div><div data-canvas-width=""99.01039999999996"">- Vacuomètre.</div><br><p></p><p><b>CRITÈRES D’ÉVALUATION<br></b></p><p></p><div data-canvas-width=""110.01359999999997"">La pression du vide est obtenue par une utilisation correcte de la pompe à vide.</div><br><p></p><p><br></p>",1,,,,0,null,,74,,
C4.1,C4.1-7,"C4.1-7 - Faire le vide dans le  système pour évacuer  l’air et l’humidité","<p><b>CONDITIONS</b></p><p>- Pompe à vide, <br></p><p>- Installation,</p><div data-canvas-width=""99.01039999999996"">- Vacuomètre.</div><p></p><p><br></p><p><b>CRITÈRES D’ÉVALUATION<br></b></p><p></p><div data-canvas-width=""110.01359999999997"">La pression du vide est obtenue par une utilisation correcte de la pompe à vide.</div><div data-canvas-width=""94.6128"">La durée de tirage au vide tient compte des conditions atmosphériques et du volume de l’installation.</div><br><p></p><p><br></p>",1,,,,0,null,,75,,
C4,C4.2,"C4.2 - Manipuler le fluide frigorigène et les  huiles",,1,,,,0,null,,22,,
C4.2,C4.2-1,"C4.2-1 - Identifier le fluide  frigorigène et son  emballage","<p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""87.82319999999997"">- Installation,</div><div data-canvas-width=""146.79519999999997"">- Dossier technique,</div><div>- Outillages adaptés,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""154.02639999999994"">- Schéma du réseau,</div><div data-canvas-width=""248.492"">- Fiche bouteille et code couleur,</div><div data-canvas-width=""207.7544"">- Marquage de l’installation,</div><div data-canvas-width=""85.50479999999999"">- Détendeur.</div><br><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b></p><p><b></b><br></p><p></p><div data-canvas-width=""172.2056"">Le fluide est identifié. </div><br><p></p><p><br></p>",1,,,,0,null,,77,,
C4.2,C4.2-2,"C4.2-2 - Déterminer l’état (liquide,  gazeux) ","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""178.57199999999995"">- Installation frigorifique,</div><div data-canvas-width=""151.94719999999995"">- Outillages adaptés,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""81.80640000000001"">- Consignes orales des pressions de charge.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""65.43039999999999"">Le choix de la méthode et la masse  de remplissage sont adaptés.</div><div data-canvas-width=""199.9896"">La nature du fluide au point de remplissage est adaptée.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,78,,
C4.2,C4.2-3,"C4.2-3 - Déterminer les conditions  d’un fluide frigorigène avant remplissage","<p></p><p></p><div data-canvas-width=""104.0888""><i>Déterminer les conditions d’un fluide frigorigène (sous-refroidi, saturé ou surchauffé)  avant tout remplissage. </i></div><br><p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""178.57199999999995"">- Installation frigorifique,</div><div data-canvas-width=""151.94719999999995"">- Outillages adaptés,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""81.80640000000001"">- Consignes orales des pressions de charge.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""65.43039999999999"">Le choix de la méthode et la masse  de remplissage sont adaptés</div><div data-canvas-width=""199.9896"">La nature du fluide au point de remplissage est adaptée</div><div data-canvas-width=""251.6936"">La connaissance des ordres de grandeur de la surchauffe en sortie d’évaporateur et du sous refroidissement au condenseur sont évidentes.<br></div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,79,,
C4.2,C4.2-4,"C4.2-4 - Remplir le système de  fluide frigorigène sans provoquer de perte","<p></p><p></p><div data-canvas-width=""207.92""><i>Remplir le système de fluide frigorigène (à l’état liquide et/ou gazeux) sans provoquer de pertes.</i></div><br><p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""178.57199999999995"">- Installation frigorifique,</div><div data-canvas-width=""151.94719999999995"">- Outillages adaptés,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""81.80640000000001"">- Consignes orales des pressions de charge.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p><br></p><p></p><div data-canvas-width=""93.93199999999999"">La masse de fluide introduite correspond à la quantité nécessaire. </div><div data-canvas-width=""164.14639999999997"">L’installation est chargée sans provoquer de pertes.</div><div data-canvas-width=""84.80559999999998"">La fiche d’intervention est complétée.</div><br><p></p><br><p></p>",1,,,,0,null,,80,,
C4.2,C4.2-5,"C4.2-5 - Identifier et vidanger  l’huile frigorifique","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""178.57199999999995"">- Installation frigorifique,</div><div data-canvas-width=""146.79519999999997"">- Dossier technique,</div><div data-canvas-width=""44.785599999999995"">- Outillages adaptés,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""154.02639999999994"">- Schéma du réseau.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""251.63839999999996"">L’huile frigorifique est identifiée.</div><div data-canvas-width=""74.4464"">L’installation est entièrement vidangée.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,81,,
C4,C4.3,"C4.3 - Contrôler l’étanchéité d’un circuit  frigorifique chargé en fluide",,1,,,,0,null,,23,,
C4.3,C4.3-1,"C4.3-1 - Consulter le registre de  l’équipement  Relever les informations ","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""86.77440000000001"">- Installation chargée en fluide frigorigène,</div><div data-canvas-width=""73.50799999999998"">- Registre. </div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""204.82879999999997"">La consultation est réalisée avant tout contrôle d’étanchéité,</div><div data-canvas-width=""89.7552"">Le relevé est réalisé de façon pertinente concernant des problèmes récurrents ou des parties problématiques du système nécessitant une attention particulière.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,82,,
C4.3,C4.3-2,"C4.3-2 - Effectuer un contrôle  visuel et manuel ","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""86.77440000000001"">- Installation chargée en fluide frigorigène,</div><div data-canvas-width=""151.94719999999995"">- Outillages adaptés,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""40.80026666666666"">Le contrôle est réalisé sur les points de fuites potentiels au sens du règlement (CE) n°1516/2007 de la Commission du 19 décembre 2007.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,83,,
C4.3,C4.3-3,"C4.3-3 - Effectuer un contrôle de  l’étanchéité au moyen  d’une méthode indirecte","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""151.94719999999995"">- Installation chargée en fluide frigorigène,<br>- Outillages adaptés,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""40.80026666666666"">Le contrôle est réalisé sur les points de fuites potentiels au sens du règlement (CE) n°1516/2007 de la Commission du 19 décembre 2007.<br></div><p></p><p><br></p><br><p></p>",1,,,,0,null,,84,,
C4.3,C4.3-4,"C4.3-4 - S'assurer du  fonctionnement du  détecteur","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""136.65679999999998"">- Outillages et appareils de mesure adaptés, </div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""84.56639999999999"">- Procédure,</div><div data-canvas-width=""140.5944"">- Fiche de contrôle.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""141.80879999999996"">Le détecteur est vérifié avant chaque utilisation.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,85,,
C4.3,C4.3-5,"C4.3-5 - Contrôler l’étanchéité du  système au moyen d’une  méthode directe","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""250.79199999999997"">- détecteur électronique, <br>- additif, </div><div data-canvas-width=""34.72079999999999"">- détecteur ultra violet, <br>- eau savonneuse.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""196.93520000000004"">Les points de fuites potentiels sont connus et identifiés,</div><div data-canvas-width=""99.728"">Le contrôle de l’étanchéité est effectué sur l’ensemble de l’installation. </div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,86,,
C4,C4.4,"C4.4 - Intervenir sur un circuit  hydraulique ou aéraulique",,1,,,,0,null,,24,,
C4.4,C4.4-1,"C4.4-1 - Rincer le circuit  hydraulique","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""85.8176"">- Installation hydraulique ou aéraulique,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""182.41759999999996"">- Schémas d’installation,</div><div data-canvas-width=""207.75439999999998"">- Documentation technique,</div><div data-canvas-width=""141.588"">- Consignes orales.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""111.0992"">Le circuit est rempli et vidangé intégralement,</div><div data-canvas-width=""99.58079999999997"">Les filtres sont nettoyés.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,87,,
C4.4,C4.4-2,"C4.4-2 - Remplir le circuit  hydraulique à la valeur  de pression préconisée","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""85.8176"">- Installation hydraulique ou aéraulique,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""182.41759999999996"">- Schémas d’installation,</div><div data-canvas-width=""207.75439999999998"">- Documentation technique,</div><div data-canvas-width=""141.588"">- Consignes orales.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""159.17839999999998"">Le circuit est rempli à la pression demandée et purgé.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,88,,
C4.4,C4.4-3,"C4.4-3 - Contrôler l’étanchéité du  circuit","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""85.8176"">- Installation hydraulique ou aéraulique,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""182.41759999999996"">- Schémas d’installation,</div><div data-canvas-width=""207.75439999999998"">- Documentation technique,</div><div data-canvas-width=""141.588"">- Consignes orales.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""149.9048"">Le contrôle d’étanchéité  est effectué en totalité.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,89,,
C4.4,C4.4-4,"C4.4-4 - Vidanger le circuit  hydrauliqu e","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""85.8176"">- Installation hydraulique ou aéraulique,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""182.41759999999996"">- Schémas d’installation,</div><div data-canvas-width=""207.75439999999998"">- Documentation technique,</div><div data-canvas-width=""141.588"">-Consignes orales.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""248.71279999999996"">Le circuit est entièrement vidangé.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,90,,
C4,C4.5,"C4.5 - Mesurer, comparer des grandeurs",,1,,,,0,null,,25,,
C4.5,C4.5-1,"C4.5-1 - S’assurer de l’état de  fonctionnement de  l’installation","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""87.82319999999997"">- Installation,</div><div data-canvas-width=""207.75439999999998"">- Documentation technique,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""65.09919999999998"">- EPC/EPI. </div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b></p><p><b></b><br></p><p></p><div data-canvas-width=""99.89359999999999"">L’état de fonctionnement des composants est validé de façon préliminaire,</div><p></p><p>Le mode opératoire et la sécurité des personnes sont  respectés.</p><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,91,,
C4.5,C4.5-2,"C4.5-2 - Utiliser des instruments  de mesure portables ","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""101.99119999999996"">- Manomètres,</div><div data-canvas-width=""119.34239999999997"">- Thermomètres,</div><div data-canvas-width=""94.94399999999997"">- Multimètres,</div><div data-canvas-width=""66.24"">- Balance.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""216.03440000000003"">Le calibrage est adapté à la valeur et à la grandeur à mesurer,</div><div data-canvas-width=""281.18879999999996"">L’emplacement des points de mesure est judicieux et fonctionnel.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,92,,
C4.5,C4.5-3,"C4.5-3 - Mesurer et consigner des  valeurs de grandeurs  physiques ","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""207.75439999999998"">- Documentation technique,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""116.03039999999999"">- Diagramme (enthalpique, psychrométrique, de Mollier,.),</div><div data-canvas-width=""72.3856"">- Abaques,</div><div data-canvas-width=""201.5904"">- Schémas de l’installation,</div><div data-canvas-width=""54.004"">- Fiches.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""89.81039999999997"">Les grandeurs sont correctement mesurées et consignées sur les documents.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,93,,
C4.5,C4.5-4,"C4.5-4 - Comparer les valeurs  mesurées aux valeurs de  référence","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""145.7096"">- Fiche de contrôle, </div><div data-canvas-width=""202.58399999999992"">- Fiche de mise en service,</div><div data-canvas-width=""72.3856"">- Abaques,</div><div data-canvas-width=""103.95999999999998"">- Diagrammes,</div><div data-canvas-width=""161.1472"">- Consignes orales ou valeurs de référence indiquées.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""67.39919999999998"">Les valeurs mesurées sont comparées et les écarts sont signalés.</div><br><p></p><br><p></p>",1,,,,0,null,,94,,
C4,C4.6,"C4.6 - Paramétrer  ou  régler  les  valeurs  de  consigne  reçues  sur  tout  or gane de régulation ",,1,,,,0,null,,26,,
C4.6,C4.6-1,"C4.6-1 - Paramétrer et tester un  régulateur ","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""207.75439999999998"">- Documentation technique,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""158.82879999999994"">- Valeurs de réglag,</div><div data-canvas-width=""201.5904"">- Schémas de l’installation,</div><div data-canvas-width=""176.97119999999995"">- Fiche mise en service,</div><div data-canvas-width=""141.588"">- Consignes orales,</div><div data-canvas-width=""87.82319999999997"">- Installation.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""232.37359999999993"">Le régulateur est paramétré en fonction des valeurs de consigne,</div><div data-canvas-width=""231.49040000000002"">Les consignes d’utilisation sont communiquées à l’utilisateur.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,95,,
C4.6,C4.6-2,"C4.6-2 - Régler et tester un  équipement de sécurité ","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""207.75439999999998"">- Documentation technique,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""77.2984"">- EPC/EPI,</div><div data-canvas-width=""184.18399999999994"">- les valeurs de réglage,</div><div data-canvas-width=""201.5904"">- Schémas de l’installation,</div><div data-canvas-width=""57.794399999999996"">- Fiche mise en service,</div><div data-canvas-width=""87.82319999999997"">- Installation.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""66.23999999999998"">L’équipement est réglé et testé conformément aux valeurs de réglage. </div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,96,,
C4,C4.7,"C4.7 - Raccorder les équipements de charge, de mesure et de contrôle",,1,,,,0,null,,27,,
C4.7,C4.7-1,"C4.7-1 - Connecter et  déconnecter  les  manomètres et lignes ","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""77.2984"">- EPC/EPI,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""108.11839999999995"">- Documents techniques et administratifs,</div><div data-canvas-width=""96.80239999999999"">- Autorisation,</div><div data-canvas-width=""49.86399999999999"">- CCTP,</div><div data-canvas-width=""94.6128"">- Fiche signalétique de l’installation,</div><div data-canvas-width=""141.588"">- Consignes orales.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""175.35199999999995"">Les manomètres sont connectés et déconnectés en produisant le minimum d’émissions.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,97,,
C4.7,C4.7-2,"C4.7-2 - Utiliser un dispositif de  récupération des fluides  frigorigènes  ","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""77.2984"">- EPC/EPI,</div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""108.11839999999995"">- Documents techniques et administratifs,</div><div data-canvas-width=""96.80239999999999"">- Autorisation,</div><div data-canvas-width=""49.86399999999999"">- CCTP,</div><div data-canvas-width=""94.6128"">- Fiche signalétique de l’installation,</div><div data-canvas-width=""141.588"">- Consignes orales.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""285.292"">- Le transfert et ou la récupération du fluide sont effectués en produisant le minimum d’émissions,</div><div data-canvas-width=""30.600199999999994"">- La masse avant et après transfert ou la récupération est consignée,</div><div data-canvas-width=""69.4416"">- La bouteille de transfert ou de récupération est adaptée au type de fluide.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,98,,
C4.7,C4.7-3,"C4.7-3 - Utiliser une balance pour  peser le fluide frigorigène  chargé ou retiré ","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""77.2984"">- EPC/EPI, </div><div data-canvas-width=""72.6064"">- Outillage,</div><div data-canvas-width=""158.8104"">- Fiche d’intervention,</div><div data-canvas-width=""108.11839999999995"">- Documents techniques et administratifs,</div><div data-canvas-width=""96.80239999999999"">- Autorisation,</div><div data-canvas-width=""49.86399999999999"">- CCTP,</div><div data-canvas-width=""94.6128"">- Fiche signalétique de l’installation,</div><div data-canvas-width=""141.588"">- Consignes orales.</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""197.96559999999997"">La masse du fluide frigorigène transférée est respectée.</div><br><p></p><p><br></p><br><p></p>",1,,,,0,null,,99,,
,C5,"C5 - ENTRETENIR",,1,,,,0,null,,28,,
C5,C5.1,"C5.1 - Remplacer des composants de l’installation",,1,,,,0,null,,29,,
C5.1,C5.1-1,"C5.1-1 - Remplacer des   composants de  la partie  fluidique d’une  installation ","<p></p><p><b>CONDITIONS</b></p><p></p><div data-canvas-width=""139.76639999999998"">- Ordre de mission,</div><div data-canvas-width=""88.50399999999999"">- Documents et notices techniques (plans, schéma électriques, fluidique,...),</div><div data-canvas-width=""127.38319999999996"">- Consommables,</div><div data-canvas-width=""81.80639999999998"">- Outillages,</div><div data-canvas-width=""77.2984"">- EPC/EPI,</div><div data-canvas-width=""250.68160000000003"">- Mode opératoire de remplacement d’un composant,</div><div data-canvas-width=""24.527199999999997"">- Moyen de communication (ordinateur, téléphone portable, tablette numérique, GTB, GTC, ...).</div><br><p></p><p><b>CRITÈRES&nbsp; D’ÉVALUATION</b><br></p><p></p><div data-canvas-width=""279.18319999999994"">La consignation de la partie fluidique est réalisée correctement,</div><div data-canvas-width=""215.13279999999997"">Les consignes et les modes opératoires sont appliqués,</div><div data-canvas-width=""194.74559999999997"">Les exigences réglementaires en vigueur sont respectées,</div><div data-canvas-width=""80.7944"">La procédure de consignation est respectée,</div><div data-canvas-width=""158.976"">L’outillage est adapté et .correctement utilisé.</div><br><p></p><br><p></p>",1,,,,0,null,,100,,
